City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,66.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
1,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
3,Los Llanos De Aridane,ES,60.55,broken clouds,28.6585,-17.9182,Valle Aridane
4,Port Elizabeth,ZA,61.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
6,Grand-Santi,GF,73.42,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
7,Busselton,AU,64.99,clear sky,-33.65,115.3333,Observatory Guest House
8,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Bluff,NZ,66.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
10,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
11,Dwarka,IN,85.37,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
15,Bandarbeyla,SO,83.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
17,Vaini,TO,78.93,moderate rain,-21.2,-175.2,Keleti Beach Resort
20,Bredasdorp,ZA,54.81,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
23,Namibe,AO,72.25,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Atuona,PF,79.16,overcast clouds,-9.8,-139.0333,Villa Enata
26,Arraial Do Cabo,BR,75.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
29,Ahipara,NZ,66.88,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
30,Shingu,JP,64.8,broken clouds,33.7333,135.9833,Shingu UI Hotel
31,Ribeira Brava,PT,63.72,scattered clouds,32.65,-17.0667,Hotel do Campo
34,Hun,LY,63.27,clear sky,29.1268,15.9477,Alrwasi Hotel
36,Castro,BR,57.43,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
37,Olga,RU,55.47,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
39,Bluefields,NI,76.37,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
41,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
43,Porto Novo,BJ,78.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
45,Menongue,AO,56.19,clear sky,-14.6585,17.691,Ritz Lauca
46,Gat,IL,82.4,scattered clouds,31.61,34.7642,OlusHome
47,Hasaki,JP,59.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
49,Hermanus,ZA,53.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
50,Meadow Lake,US,65.77,clear sky,34.8014,-106.5436,TumbleWeed RV Park
