City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Semnan,IR,2022-04-24 23:16:25,35.5729,53.3971,71.47,26,99,8.08
1,Avarua,CK,2022-04-24 23:16:25,-21.2078,-159.775,80.65,83,40,11.5
2,Pisco,PE,2022-04-24 23:15:21,-13.7,-76.2167,69.85,73,0,16.11
3,Coolum Beach,AU,2022-04-24 23:16:26,-26.5333,153.1,72.1,86,84,16.04
4,Mar Del Plata,AR,2022-04-24 23:16:26,-38.0023,-57.5575,66.22,79,0,15.01
5,Marsh Harbour,BS,2022-04-24 23:16:26,26.5412,-77.0636,74.41,73,7,20.62
6,Susurluk,TR,2022-04-24 23:16:26,39.9136,28.1578,58.84,76,54,3.44
7,Ushuaia,AR,2022-04-24 23:15:59,-54.8,-68.3,38.86,70,0,5.75
8,Buraydah,SA,2022-04-24 23:16:27,26.326,43.975,71.46,54,100,17.81
9,Port Alfred,ZA,2022-04-24 23:16:27,-33.5906,26.891,57.18,85,98,4.0
10,Hobart,AU,2022-04-24 23:16:28,-42.8794,147.3294,55.26,89,75,1.99
11,Atuona,PF,2022-04-24 23:16:28,-9.8,-139.0333,79.39,74,15,17.69
12,Mataura,NZ,2022-04-24 23:16:28,-46.1927,168.8643,55.47,86,93,8.1
13,Rikitea,PF,2022-04-24 23:16:29,-23.1203,-134.9692,73.02,89,100,16.44
14,East London,ZA,2022-04-24 23:16:29,-33.0153,27.9116,62.15,71,88,13.09
15,Cape Town,ZA,2022-04-24 23:16:29,-33.9258,18.4232,58.12,80,75,10.36
16,Fortuna,US,2022-04-24 23:16:30,40.5982,-124.1573,61.93,74,0,11.5
17,Coihaique,CL,2022-04-24 23:16:30,-45.5752,-72.0662,39.15,87,100,5.75
18,Provideniya,RU,2022-04-24 23:14:52,64.3833,-173.3,35.71,60,0,4.47
19,Batticaloa,LK,2022-04-24 23:16:30,7.7102,81.6924,79.81,83,52,5.32
20,Nishihara,JP,2022-04-24 23:16:31,26.1842,127.7558,78.46,97,75,8.05
21,Maniitsoq,GL,2022-04-24 23:16:31,65.4167,-52.9,27.5,88,98,5.75
22,Gemena,CD,2022-04-24 23:16:31,3.25,19.7667,70.97,94,78,0.83
23,Yar,RU,2022-04-24 23:16:32,58.249,52.1026,37.15,100,100,2.33
24,Saint-Philippe,RE,2022-04-24 23:16:32,-21.3585,55.7679,74.79,79,90,14.03
25,Shanghai,CN,2022-04-24 23:16:32,31.2222,121.4581,64.92,86,75,6.71
26,Busselton,AU,2022-04-24 23:16:33,-33.65,115.3333,66.38,52,99,12.06
27,Chuy,UY,2022-04-24 23:16:33,-33.6971,-53.4616,63.55,63,3,11.72
28,Ponta Do Sol,PT,2022-04-24 23:16:33,32.6667,-17.1,65.01,86,95,7.99
29,New Norfolk,AU,2022-04-24 23:16:34,-42.7826,147.0587,54.91,87,85,2.26
30,Jamestown,US,2022-04-24 23:15:42,42.097,-79.2353,78.44,31,0,10.36
31,Port Hedland,AU,2022-04-24 23:16:34,-20.3167,118.5667,68.05,83,10,5.75
32,Narsaq,GL,2022-04-24 23:16:34,60.9167,-46.05,43.02,88,100,3.15
33,Iqaluit,CA,2022-04-24 23:16:35,63.7506,-68.5145,22.69,79,100,11.99
34,Saint George,US,2022-04-24 23:16:35,37.1041,-113.5841,72.63,13,0,7.0
35,Hermanus,ZA,2022-04-24 23:16:35,-34.4187,19.2345,58.91,75,82,4.88
36,Aswan,EG,2022-04-24 23:14:51,24.0934,32.907,79.07,12,6,9.46
37,Labuhan,ID,2022-04-24 23:16:36,-6.8844,112.2051,78.24,87,86,6.64
38,Kahului,US,2022-04-24 23:16:36,20.8947,-156.47,84.22,62,20,26.46
39,Channel-Port Aux Basques,CA,2022-04-24 23:16:37,47.5702,-59.1367,38.71,87,100,19.62
40,Butaritari,KI,2022-04-24 23:16:37,3.0707,172.7902,81.34,76,100,10.42
41,Mount Gambier,AU,2022-04-24 23:16:37,-37.8333,140.7667,56.19,64,100,4.12
42,Punta Arenas,CL,2022-04-24 23:17:38,-53.15,-70.9167,41.11,93,100,6.91
43,Thompson,CA,2022-04-24 23:17:38,55.7435,-97.8558,19.56,45,20,23.02
44,Tafo,GH,2022-04-24 23:17:38,6.7345,-1.6127,71.29,95,100,1.88
45,Chake Chake,TZ,2022-04-24 23:17:39,-5.2459,39.7666,77.22,89,96,3.8
46,Gat,IL,2022-04-24 23:13:01,31.61,34.7642,75.4,100,80,3.69
47,Moose Factory,CA,2022-04-24 23:17:39,51.2585,-80.6094,42.8,75,0,9.22
48,Saint-Pierre,RE,2022-04-24 23:17:40,-21.3393,55.4781,74.88,75,75,14.97
49,Chapais,CA,2022-04-24 23:17:40,49.7834,-74.8492,40.78,76,100,12.75
50,Korla,CN,2022-04-24 23:17:40,41.7597,86.1469,64.11,30,46,15.21
51,Taoudenni,ML,2022-04-24 23:17:41,22.6783,-3.9836,80.76,23,0,12.46
52,Geraldton,AU,2022-04-24 23:17:41,-28.7667,114.6,64.81,45,84,17.27
53,Albany,US,2022-04-24 23:17:41,42.6001,-73.9662,66.61,33,49,4.0
54,Sausar,IN,2022-04-24 23:17:42,21.65,78.7833,85.75,17,27,4.43
55,Barrow,US,2022-04-24 23:17:42,71.2906,-156.7887,15.82,79,0,10.36
56,Guerrero Negro,MX,2022-04-24 23:17:42,27.9769,-114.0611,73.08,41,0,15.77
57,Kapaa,US,2022-04-24 23:16:00,22.0752,-159.319,82.38,78,100,17.27
58,Necochea,AR,2022-04-24 23:15:53,-38.5473,-58.7368,68.16,49,72,14.09
59,Nastola,FI,2022-04-24 23:17:43,60.95,25.9333,34.84,90,52,6.71
60,Dunedin,NZ,2022-04-24 23:17:43,-45.8742,170.5036,59.61,64,77,15.77
61,Qaanaaq,GL,2022-04-24 23:17:44,77.484,-69.3632,3.36,71,82,5.64
62,San Cristobal,VE,2022-04-24 23:17:44,7.7669,-72.225,69.98,93,73,1.97
63,Castro,BR,2022-04-24 23:17:44,-24.7911,-50.0119,61.52,89,1,5.39
64,Upernavik,GL,2022-04-24 23:13:05,72.7868,-56.1549,4.42,91,17,8.57
65,Jiazi,CN,2022-04-24 23:17:45,22.8779,116.067,77.14,88,0,2.98
66,Torbay,CA,2022-04-24 23:17:45,47.6666,-52.7314,36.28,96,100,9.22
67,Kodiak,US,2022-04-24 23:17:45,57.79,-152.4072,51.31,54,20,13.8
68,Lompoc,US,2022-04-24 23:17:46,34.6391,-120.4579,82.02,65,0,21.0
69,Vardo,NO,2022-04-24 23:17:46,70.3705,31.1107,35.51,86,100,7.94
70,Faanui,PF,2022-04-24 23:17:47,-16.4833,-151.75,81.27,69,15,5.46
71,Pringsewu,ID,2022-04-24 23:17:47,-5.3582,104.9744,73.24,97,78,3.76
72,Belyy Yar,RU,2022-04-24 23:17:47,53.6039,91.3903,24.85,81,44,2.24
73,Bredasdorp,ZA,2022-04-24 23:17:48,-34.5322,20.0403,57.61,73,78,5.55
74,Severo-Kurilsk,RU,2022-04-24 23:17:48,50.6789,156.125,33.94,88,70,1.95
